        31394141 function calls (28555966 primitive calls) in 21.487 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1056    0.023    0.000    0.023    0.000 {built-in method posix.stat}
     10/1    0.001    0.000    0.022    0.022 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/urls/resolvers.py:530(_populate)
      221    0.000    0.000    0.022    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/backends/django.py:31(get_template)
        1    0.000    0.000    0.020    0.020 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/contrib/auth/__init__.py:57(_get_user_session_key)
        4    0.000    0.000    0.020    0.005 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/contrib/sessions/backends/base.py:52(__getitem__)
        5    0.000    0.000    0.020    0.004 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/contrib/sessions/backends/base.py:180(_get_session)
        1    0.000    0.000    0.020    0.020 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/contrib/sessions/backends/db.py:41(load)
    80/79    0.000    0.000    0.020    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/forms/utils.py:64(render)
        1    0.000    0.000    0.020    0.020 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/contrib/sessions/backends/db.py:30(_get_session_from_db)
        1    0.000    0.000    0.020    0.020 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/contrib/admin/helpers.py:455(media)
   100/68    0.001    0.000    0.018    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/defaulttags.py:891(do_if)
        1    0.000    0.000    0.018    0.018 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/nested_admin/formsets.py:70(media)
        1    0.000    0.000    0.018    0.018 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/forms/formsets.py:517(media)
        1    0.000    0.000    0.018    0.018 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/forms/formsets.py:201(forms)
      218    0.000    0.000    0.017    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/forms/renderers.py:33(get_template)
   101010    0.016    0.000    0.016    0.000 {built-in method builtins.iter}
       40    0.016    0.000    0.016    0.000 {method 'readlines' of '_io._IOBase' objects}
   101086    0.016    0.000    0.016    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/utils/safestring.py:43(__str__)
      258    0.006    0.000    0.014    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/utils/regex_helper.py:41(normalize)
      878    0.002    0.000    0.014    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/asgiref/local.py:99(__getattr__)
      376    0.000    0.000    0.013    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/base.py:596(compile_filter)
       40    0.000    0.000    0.013    0.000 /usr/local/Cellar/python@3.11/3.11.4_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/tokenize.py:392(open)
      376    0.003    0.000    0.013    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/base.py:664(__init__)
      898    0.002    0.000    0.012    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/asgiref/local.py:80(_get_storage)
       98    0.000    0.000    0.011    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/db/models/sql/compiler.py:448(get_order_by)
       40    0.000    0.000    0.011    0.000 /usr/local/Cellar/python@3.11/3.11.4_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/tokenize.py:299(detect_encoding)
        3    0.000    0.000    0.011    0.004 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/loader_tags.py:68(super)
    51/28    0.000    0.000    0.011    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/loader_tags.py:211(do_block)
      140    0.001    0.000    0.011    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/db/models/sql/compiler.py:2087(cursor_iter)
       40    0.000    0.000    0.011    0.000 /usr/local/Cellar/python@3.11/3.11.4_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/tokenize.py:323(read_or_stop)
       40    0.011    0.000    0.011    0.000 {method 'readline' of '_io.BufferedReader' objects}
